Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Info,postal,Latitude_rad,Longitude_rad,Coord_rad
Lee Kong Chian Reference Library (National Library Board),"100 Victoria Street, S(188064)","\$1.07 for 1st 30min, \$0.035/min from 7am to 7pm",\$0.017/min from 7pm to 11.30pm,Charges same as weekdays,\$0.017/min from 7am to 11.30pm,"<b>Carpark: </b>Lee Kong Chian Reference Library (National Library Board)
<b>Address: </b>100 Victoria Street, S(188064)
<b>Mon-Fri before 5/6pm: </b>\$1.07 for 1st 30min, \$0.035/min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$0.017/min from 7pm to 11.30pm
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.017/min from 7am to 11.30pm",188064,0.022645873937429183,1.8125931418087622,"(0.022645873937429183, 1.8125931418087622)"
National Skin Centre,"1 Mandalay Road, S(308205)","\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed,"<b>Carpark: </b>National Skin Centre
<b>Address: </b>1 Mandalay Road, S(308205)
<b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>Carpark closed
<b>Sat: </b>Carpark closed
<b>Sun/ Public Holiday: </b>Carpark closed",308205,0.023039620216679105,1.8125093991659222,"(0.023039620216679105, 1.8125093991659222)"
National University Hospital (NUH),"5 Lower Kent Ridge Road, S(119074)",\$0.035/min from 12midnight to 12midnight the following day,\$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>National University Hospital (NUH)
<b>Address: </b>5 Lower Kent Ridge Road, S(119074)
<b>Mon-Fri before 5/6pm: </b>\$0.035/min from 12midnight to 12midnight the following day
<b>Mon-Fri after 5/6pm: </b>\$0.035/min from 12midnight to 12midnight the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays",119074,0.0225974061441013,1.8113524919632746,"(0.022597406144101301, 1.8113524919632746)"
Negara Hotel,"10 Claymore Road, S(229540)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm",\$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,"<b>Carpark: </b>Negara Hotel
<b>Address: </b>10 Claymore Road, S(229540)
<b>Mon-Fri before 5/6pm: </b>\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$5.00/entry from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$5.00/entry from 7am to 7am the following day",229540,0.02282257107090109,1.8121761809051316,"(0.02282257107090109, 1.8121761809051316)"
Northpoint Shopping Centre,"930 Yishun Avenue 2, S(769098)","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7pm","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7pm to 1am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Northpoint Shopping Centre
<b>Address: </b>930 Yishun Avenue 2, S(769098)
<b>Mon-Fri before 5/6pm: </b>\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7pm to 1am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays",769098,0.02495555540305588,1.8122722979323682,"(0.024955555403055881, 1.8122722979323682)"
Novena Gardens,"273 Thomson Road, S(307644)","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Novena Gardens
<b>Address: </b>273 Thomson Road, S(307644)
<b>Mon-Fri before 5/6pm: </b>\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays",307644,0.023043337767985853,1.8123851683750947,"(0.023043337767985853, 1.8123851683750947)"
Velocity @ Novena Square,"238 Thomson Road, S(307683)","\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","<b>Carpark: </b>Velocity @ Novena Square
<b>Address: </b>238 Thomson Road, S(307683)
<b>Mon-Fri before 5/6pm: </b>\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 6pm to 6am the following day
<b>Sat: </b>\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day
<b>Sun/ Public Holiday: </b>\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day",307683,0.02303530925342668,1.8124196735344065,"(0.023035309253426679, 1.8124196735344065)"
Novena Villa,"275 Thomson Road, S(307645)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Novena Villa
<b>Address: </b>275 Thomson Road, S(307645)
<b>Mon-Fri before 5/6pm: </b>\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays",307645,0.023061628818546755,1.8123782045113792,"(0.023061628818546755, 1.8123782045113792)"
"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)",HDB parking rates from 8.30am to 10pm,Free parking from 10pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>National Cancer Centre, Singapore (NCCS)
<b>Address: </b>11 Hospital Drive, S(169610)
<b>Mon-Fri before 5/6pm: </b>HDB parking rates from 8.30am to 10pm
<b>Mon-Fri after 5/6pm: </b>Free parking from 10pm to 8.30am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays",169610,0.02234206447453453,1.8122997170549169,"(0.022342064474534531, 1.8122997170549169)"
M Hotel,"81 Anson Road, S(079908)",\$2.50/30min from 7am to 6pm,\$5.80/entry from 6pm to 7am the following day,"\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day",\$5.80/entry from 7am to 7am the following day,"<b>Carpark: </b>M Hotel
<b>Address: </b>81 Anson Road, S(079908)
<b>Mon-Fri before 5/6pm: </b>\$2.50/30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$5.80/entry from 6pm to 7am the following day
<b>Sat: </b>\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day
<b>Sun/ Public Holiday: </b>\$5.80/entry from 7am to 7am the following day",079908,0.02223205637178133,1.8124377551454571,"(0.022232056371781331, 1.8124377551454571)"
Marina Mandarin Hotel,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","<b>Carpark: </b>Marina Mandarin Hotel
<b>Address: </b>6 Raffles Boulevard, S(039594)
<b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs
<b>Mon-Fri after 5/6pm: </b>\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs
<b>Sat: </b>\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun
<b>Sun/ Public Holiday: </b>\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",039594,0.022532008657029073,1.8126539665331942,"(0.022532008657029073, 1.8126539665331942)"
